auction_id,item_id,context,item_level,buyout,quantity,time_left
929432366,191238,13,28,4403300,1,SHORT
929432440,191236,13,28,1000000,1,SHORT
929432594,191239,13,28,570000,1,SHORT
929434583,190484,13,28,12000000,1,SHORT
929435342,190485,13,28,15000000,1,SHORT
929453706,34828,1,,250000000,1,SHORT
929455965,94573,,28,937600,1,SHORT
929456559,82242,,9,206200,1,SHORT
929456758,82284,,9,404200,1,SHORT
929457244,94058,,28,22636000,1,SHORT
929457341,36381,1,9,17921200,1,SHORT
929457575,82243,,9,1716600,1,SHORT
929457665,82251,,9,253800,1,SHORT
929457757,82249,,9,679000,1,SHORT
929457879,82291,,9,502900,1,SHORT
929457961,82244,,9,459200,1,SHORT
929458104,82280,,9,139100,1,SHORT
929458422,33366,5,9,4000000,1,SHORT
929458578,90758,,9,67061400,1,SHORT
929458692,33402,1,9,101600,1,SHORT
929458779,33365,5,9,100000,1,SHORT
929471108,199023,,9,760000,1,SHORT
929471180,199014,,9,550000,1,SHORT
929511263,199004,,9,19800000,1,MEDIUM
929511569,198986,,9,40000000,1,MEDIUM
929511846,24843,1,9,6000000,1,MEDIUM
929511998,24851,,9,29639200,1,MEDIUM
929512144,193393,13,28,1000000,1,MEDIUM
929512162,193393,13,28,1000000,1,MEDIUM
929512184,193393,13,28,1000000,1,MEDIUM
929512211,193393,13,28,1000000,1,MEDIUM
929512230,193393,13,28,1000000,1,MEDIUM
929512335,193388,13,28,2500000,1,MEDIUM
929512356,193388,13,28,2500000,1,MEDIUM
929512387,193388,13,28,2500000,1,MEDIUM
929512402,193388,13,28,2500000,1,MEDIUM
929512707,154814,,9,50000000,1,MEDIUM
929522270,199299,11,28,75009400,1,MEDIUM
929526759,197972,11,28,100004000,1,MEDIUM
929527743,190486,13,28,8515600,1,MEDIUM
929527755,190486,13,28,8515600,1,MEDIUM
929541934,193479,13,28,20001400,1,MEDIUM
929541953,193479,13,28,20001400,1,MEDIUM
929541970,193479,13,28,20001400,1,MEDIUM
929541984,193479,13,28,20001400,1,MEDIUM
929555862,201948,13,28,2000000,1,MEDIUM
929555956,201950,13,28,6500000,1,MEDIUM
929556048,201945,13,28,5000000,1,MEDIUM
929556150,193394,13,28,750000,1,MEDIUM
929556231,201943,13,28,3300000,1,MEDIUM
929556536,193392,13,28,3000000,1,MEDIUM
929558131,193612,13,28,2250000,1,MEDIUM
929558223,193485,13,28,4500000,1,MEDIUM
929580560,82800,,6,90000000,1,MEDIUM
929581590,82800,,6,88880000,1,MEDIUM
929586161,190937,11,28,488880000,1,MEDIUM
929591129,193480,13,28,3000000,1,MEDIUM
929591148,201949,13,28,10857100,1,MEDIUM
929591157,193383,13,28,14749900,1,MEDIUM
929591191,201950,13,28,13881100,1,MEDIUM
